Angle,Radius,Value
71.25,4,1.16E-04
71.25,5,1.19E-04
71.25,6,1.22E-04
71.25,8,2.51E-04
71.25,10,2.57E-04
71.25,15,6.45E-04
71.25,20,6.10E-04
71.25,30,1.01E-03
71.25,40,6.86E-04
71.25,50,4.17E-04
71.25,60,2.13E-04
75,0.05,3.76E-04
75,0.1,1.97E-04
75,0.15,1.47E-04
75,0.2,1.17E-04
75,0.3,1.76E-04
75,0.4,1.26E-04
75,0.5,9.45E-05
75,0.6,7.20E-05
75,0.8,9.97E-05
75,1,6.24E-05
75,1.5,8.63E-05
75,2,5.63E-05
75,3,1.06E-04
75,4,1.09E-04
75,5,1.12E-04
75,6,1.15E-04
75,8,2.38E-04
75,10,2.44E-04
75,15,6.15E-04
75,20,5.83E-04
75,30,9.58E-04
75,40,6.46E-04
75,50,3.88E-04
75,60,1.94E-04
78.75,0.05,3.26E-04
78.75,0.1,1.67E-04
78.75,0.15,1.22E-04
78.75,0.2,9.62E-05
78.75,0.3,1.43E-04
78.75,0.4,1.01E-04
78.75,0.5,7.50E-05
78.75,0.6,5.67E-05
78.75,0.8,7.86E-05
78.75,1,5.00E-05
78.75,1.5,7.26E-05
78.75,2,5.16E-05
78.75,3,9.95E-05
78.75,4,1.02E-04
78.75,5,1.06E-04
78.75,6,1.09E-04
78.75,8,2.26E-04
78.75,10,2.32E-04
78.75,15,5.86E-04
78.75,20,5.56E-04
78.75,30,9.11E-04
78.75,40,6.08E-04
78.75,50,3.61E-04
78.75,60,1.78E-04
82.5,0.05,2.81E-04
82.5,0.1,1.40E-04
82.5,0.15,1.01E-04
82.5,0.2,7.85E-05
82.5,0.3,1.16E-04
82.5,0.4,8.13E-05
82.5,0.5,5.93E-05
82.5,0.6,4.49E-05
82.5,0.8,6.22E-05
82.5,1,4.02E-05
82.5,1.5,6.21E-05
82.5,2,4.73E-05
82.5,3,9.29E-05
82.5,4,9.62E-05
82.5,5,9.98E-05
82.5,6,1.03E-04
82.5,8,2.14E-04
82.5,10,2.21E-04
82.5,15,5.60E-04
82.5,20,5.31E-04
82.5,30,8.67E-04
82.5,40,5.73E-04
82.5,50,3.35E-04
82.5,60,1.62E-04
86.25,0.05,2.36E-04
86.25,0.1,1.17E-04
86.25,0.15,8.33E-05
86.25,0.2,6.42E-05
86.25,0.3,9.33E-05
86.25,0.4,6.47E-05
86.25,0.5,4.73E-05
86.25,0.6,3.58E-05
86.25,0.8,4.96E-05
86.25,1,3.28E-05
86.25,1.5,5.38E-05
86.25,2,4.36E-05
86.25,3,8.72E-05
86.25,4,9.11E-05
86.25,5,9.44E-05
86.25,6,9.77E-05
86.25,8,2.04E-04
86.25,10,2.11E-04
86.25,15,5.34E-04
86.25,20,5.07E-04
86.25,30,8.23E-04
86.25,40,5.39E-04
86.25,50,3.11E-04
86.25,60,1.49E-04
90,0.05,1.96E-04
90,0.1,9.68E-05
90,0.15,6.84E-05
90,0.2,5.23E-05
90,0.3,7.50E-05
90,0.4,5.16E-05
90,0.5,3.77E-05
90,0.6,2.84E-05
90,0.8,3.99E-05
90,1,2.75E-05
90,1.5,4.73E-05
90,2,4.07E-05
90,3,8.18E-05
90,4,8.56E-05
90,5,8.90E-05
90,6,9.25E-05
90,8,1.93E-04
90,10,2.01E-04
90,15,5.10E-04
90,20,4.83E-04
90,30,7.82E-04
90,40,5.07E-04
90,50,2.89E-04
90,60,1.36E-04
93.75,0.05,1.65E-04
93.75,0.1,7.99E-05
93.75,0.15,5.56E-05
93.75,0.2,4.22E-05
93.75,0.3,6.03E-05
93.75,0.4,4.13E-05
93.75,0.5,3.00E-05
93.75,0.6,2.28E-05
93.75,0.8,3.28E-05
93.75,1,2.32E-05
93.75,1.5,4.25E-05
93.75,2,3.80E-05
93.75,3,7.72E-05
93.75,4,8.09E-05
93.75,5,8.46E-05
93.75,6,8.81E-05
93.75,8,1.84E-04
93.75,10,1.91E-04
93.75,15,4.87E-04
93.75,20,4.61E-04
93.75,30,7.42E-04
93.75,40,4.76E-04
93.75,50,2.69E-04
93.75,60,1.25E-04
97.5,0.05,1.38E-04
97.5,0.1,6.55E-05
97.5,0.15,4.53E-05
97.5,0.2,3.41E-05
97.5,0.3,4.82E-05
97.5,0.4,3.30E-05
97.5,0.5,2.40E-05
97.5,0.6,1.88E-05
97.5,0.8,2.72E-05
97.5,1,1.99E-05
97.5,1.5,3.87E-05
97.5,2,3.54E-05
97.5,3,7.25E-05
97.5,4,7.65E-05
97.5,5,8.03E-05
97.5,6,8.33E-05
97.5,8,1.75E-04
97.5,10,1.82E-04
97.5,15,4.64E-04
97.5,20,4.39E-04
97.5,30,7.04E-04
97.5,40,4.48E-04
97.5,50,2.50E-04
97.5,60,1.15E-04
101.25,0.05,1.16E-04
101.25,0.1,5.37E-05
101.25,0.15,3.67E-05
101.25,0.2,2.74E-05
101.25,0.3,3.88E-05
101.25,0.4,2.67E-05
101.25,0.5,1.96E-05
101.25,0.6,1.54E-05
101.25,0.8,2.29E-05
101.25,1,1.75E-05
101.25,1.5,3.55E-05
101.25,2,3.31E-05
101.25,3,6.83E-05
101.25,4,7.22E-05
101.25,5,7.58E-05
101.25,6,7.91E-05
101.25,8,1.66E-04
101.25,10,1.74E-04
